CAS #,Formatted CAS #,Substance Name,Acidification Air (kg SO2 eq / kg substance),"Ecotox. CF [CTUeco/kg], Em.airU, freshwater","Ecotox. CF [CTUeco/kg], Em.airC, freshwater","Ecotox. CF [CTUeco/kg], Em.fr.waterC, freshwater","Ecotox. CF [CTUeco/kg], Em.sea waterC, freshwater","Ecotox. CF [CTUeco/kg], Em.nat.soilC, freshwater","Ecotox. CF [CTUeco/kg], Em.agr.soilC, freshwater",CF Flag Ecotox,Global Climate Air (kg CO2 eq / kg substance),"Human health CF  [CTUcancer/kg], Emission to urban air, cancer","Human health CF  [CTUnoncancer/kg], Emission to urban air, non-canc.","Human health CF  [CTUcancer/kg], Emission to cont. rural air, cancer","Human health CF  [CTUnoncancer/kg], Emission to cont. rural air, non-canc.","Human health CF  [CTUcancer/kg], Emission to cont. freshwater, cancer","Human health CF  [CTUnoncancer/kg], Emission to cont. freshwater, non-canc.","Human health CF  [CTUcancer/kg], Emission to cont. sea water, cancer","Human health CF  [CTUnoncancer/kg], Emission to cont. sea water, non-canc.","Human health CF  [CTUcancer/kg], Emission to cont. natural soil, cancer","Human health CF  [CTUnoncancer/kg], Emission to cont. natural soil, non-canc.","Human health CF  [CTUcancer/kg], Emission to cont. agric. Soil, cancer","Human health CF  [CTUnoncancer/kg], Emission to cont. agric. Soil, non-canc.",CF Flag HH carcinogenic,CF Flag HH non-carcinogenic,HH Particulate Air (PM2.5 eq / kg substance),Ozone Depletion Air (kg CFC-11 eq / kg substance),Photochemical Oxidation Formation Air (kg O3 eq / kg substance),
115968,115-96-8,TRI-2-CHLOROETHYL PHOSPHATE,n/a,3.99E+00,3.00E+00,4.34E+02,4.31E-02,2.65E+01,2.65E+01,Recommended,n/a,3.21E-07,n/a,2.42E-08,n/a,1.04E-06,n/a,7.67E-10,n/a,6.60E-08,n/a,8.80E-08,n/a,Recommended,n/a,n/a,n/a,n/a,
116029,116-02-9,"CYCLOHEXANOL, 3,3,5-TRIMETHYL-",n/a,1.96E+00,1.85E+00,2.33E+02,2.62E-02,2.27E+01,2.27E+01,Recommended,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
116063,116-06-3,ALDICARB,n/a,6.07E+03,5.79E+03,4.71E+04,2.96E-02,1.19E+04,1.19E+04,Recommended,n/a,n/a,7.88E-05,n/a,5.33E-05,n/a,1.02E-04,n/a,4.04E-08,n/a,2.59E-05,n/a,4.44E-05,n/a,Recommended,n/a,n/a,n/a,
116096,116-09-6,HYDROXY ACETONE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.23E+00,
116143,116-14-3,TETRAFLUOROETHYLENE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.33E-06,n/a,6.45E-07,n/a,7.49E-07,n/a,6.06E-08,n/a,6.24E-07,n/a,6.25E-07,n/a,Recommended,n/a,n/a,n/a,n/a,
116290,116-29-0,TETRADIFON,n/a,2.20E+03,1.51E+03,4.59E+04,2.16E-02,2.76E+02,2.76E+02,Recommended,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
117102,117-10-2,"9,10-ANTHRACENEDIONE, 1,8-DIHYDROXY-",n/a,8.36E+02,5.16E+02,2.18E+04,1.19E-05,5.22E+01,5.22E+01,Interim,n/a,6.06E-07,n/a,3.81E-07,n/a,7.61E-07,n/a,1.28E-09,n/a,1.82E-09,n/a,1.96E-08,n/a,Recommended,n/a,n/a,n/a,n/a,
117180,117-18-0,"2,3,5,6-TETRACHLORONITROBENZENE",n/a,3.92E+02,3.89E+02,1.30E+04,1.47E+02,1.81E+02,1.81E+02,Recommended,n/a,n/a,5.42E-07,n/a,3.94E-07,n/a,1.80E-06,n/a,5.16E-07,n/a,1.07E-07,n/a,1.70E-07,n/a,Recommended,n/a,n/a,n/a,
117395,117-39-5,QUERCETIN,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.17E-06,n/a,3.64E-06,n/a,4.42E-06,n/a,9.55E-10,n/a,1.04E-07,n/a,2.33E-07,n/a,Interim,n/a,n/a,n/a,n/a,
117793,117-79-3,2-AMINOANTHRAQUINONE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.96E-07,n/a,1.67E-07,n/a,1.13E-06,n/a,6.16E-09,n/a,9.29E-09,n/a,3.46E-08,n/a,Recommended,n/a,n/a,n/a,n/a,
