State,Facility Name,Facility ID,Unit ID,Associated Stacks,Year,Operating Time Count,Sum of the Operating Time,Gross Load (MWh),Steam Load (1000 lb),SO2 Mass (short tons),SO2 Rate (lbs/mmBtu),CO2 Mass (short tons),CO2 Rate (short tons/mmBtu),NOx Mass (short tons),NOx Rate (lbs/mmBtu),Heat Input (mmBtu),Primary Fuel Type,Secondary Fuel Type,Unit Type,SO2 Controls,NOx Controls,PM Controls,Hg Controls,Program Code
KY,H L Spurlock,6041,3,,2024,6338,6334.58,1753730.09,,1077.1,0.1377,1632454.076,0.103,497.239,0.064,15910860.228,Coal,,Circulating fluidized bed boiler,Dry Lime FGD|Fluidized Bed Limestone Injection,Selective Non-catalytic Reduction,Baghouse,,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
KY,H L Spurlock,6041,3,,2025,7128,7112.95,1958074.84,,1282.754,0.1671,1867436.941,0.103,573.203,0.0667,18201165.298,Coal,,Circulating fluidized bed boiler,Dry Lime FGD|Fluidized Bed Limestone Injection,Selective Non-catalytic Reduction,Baghouse,,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
KY,H L Spurlock,6041,3,,2026,3333,3326.52,877620.21,,526.918,0.1432,839876.527,0.103,266.806,0.0691,8185920.816,Coal,,Circulating fluidized bed boiler,Dry Lime FGD|Fluidized Bed Limestone Injection,Selective Non-catalytic Reduction,Baghouse,,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
KY,H L Spurlock,6041,4,,2024,6959,6949.64,1882726.17,,814.95,0.1314,1655648.634,0.103,497.302,0.0638,16136948.813,Coal,,Circulating fluidized bed boiler,Dry Lime FGD|Fluidized Bed Limestone Injection,Selective Non-catalytic Reduction,Baghouse,,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
KY,H L Spurlock,6041,4,,2025,7748,7741.47,2174149.88,,1035.068,0.1436,1942124.283,0.103,580.518,0.0641,18929091.875,Coal,,Circulating fluidized bed boiler,Dry Lime FGD|Fluidized Bed Limestone Injection,Selective Non-catalytic Reduction,Baghouse,,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
KY,H L Spurlock,6041,4,,2026,4344,4343.52,1190955.72,,481.096,0.0991,1051545.029,0.103,308.876,0.0611,10249020.059,Coal,,Circulating fluidized bed boiler,Dry Lime FGD|Fluidized Bed Limestone Injection,Selective Non-catalytic Reduction,Baghouse,,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
KY,Trimble County,6071,1,,2024,8372,8362.3,3832844.21,,2347.486,0.1354,3516173.575,0.103,1276.386,0.0794,34270672.395,Coal,Diesel Oil,Tangentially-fired,Wet Limestone,Low NOx Burner Technology w/ Closed-coupled OFA|Selective Catalytic Reduction,Baghouse|Electrostatic Precipitator|Wet Scrubber,Additives to Enhance PAC and Existing Equipment Performance|Untreated PAC Sorbent Injection,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
KY,Trimble County,6071,1,,2025,7721,7710.52,3758563.95,,2619.708,0.1547,3400681.598,0.103,1187.586,0.0721,33145031.107,Coal,Diesel Oil,Tangentially-fired,Wet Limestone,Low NOx Burner Technology w/ Closed-coupled OFA|Selective Catalytic Reduction,Baghouse|Electrostatic Precipitator|Wet Scrubber,Additives to Enhance PAC and Existing Equipment Performance|Untreated PAC Sorbent Injection,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
KY,Trimble County,6071,1,,2026,1416,1414.81,677331.95,,497.77,0.1818,624924.348,0.1029,224.363,0.0748,6090862.122,Coal,Diesel Oil,Tangentially-fired,Wet Limestone,Low NOx Burner Technology w/ Closed-coupled OFA|Selective Catalytic Reduction,Baghouse|Electrostatic Precipitator|Wet Scrubber,Additives to Enhance PAC and Existing Equipment Performance|Untreated PAC Sorbent Injection,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
KY,Trimble County,6071,10,,2024,1166,1093.63,162682.08,,0.518,0.001,102648.805,0.059,31.465,0.0411,1727280.183,Pipeline Natural Gas,,Combustion turbine,,Dry Low NOx Burners,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
